prescription_code,canonical_name,name_variant_count,review_flag
055102870,몬테레진정(몬테루카스트나트륨/레보세티리진염산염)_(1정),1,False
622801610,락소펜엠정(록소프로펜나트륨수화물)_(68.1mg/1정),1,False
622803730,모사프리엠정(모사프리드시트르산염수화물)_(5.29mg/1정),1,False
628900110,이든암브록솔염산염정,1,False
628900450,리피엔정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),1,False
628900520,에소프라정20밀리그램(에스오메프라졸마그네슘이수화물)_(21.69mg/1정),1,False
628902170,이포산서방정(베포타스틴베실산염)_(20mg/1정),1,False
641100270,아스피린프로텍트정100mg,1,False
641704511,프리베이트크림(프레드니카르베이트)_(50mg/20g),1,False
642102570,페니라민정,1,False
642301360,삼성바클로펜정,1,False
643303130,종근당아목시실린캡슐500mg(품절),1,False
643500520,레마이드정100밀리그램(레바미피드)_(0.1g/1정),1,False
644802781,파티겔현탁액(알마게이트)(수출명 : 알마게인현탁액/ 호메젤현탁액)_(1.5g/15mL),1,False
645401870,크라비트정500밀리그람(레보플록사신)_(0.5g/1정),1,False
646001150,뮤코스텐캡슐(아세틸시스테인)_(0.2g/1캡슐),1,False
650203656,시네츄라시럽,1,False
653603051,파타놀점안액0.1%(올로파타딘염산염)_(5.55mg/5mL),1,False
671800510,대원아미노필린정,1,False
672300240,타이레놀8시간이알서방정(아세트아미노펜)_(0.65g/1정),1,False
693902610,판토라정20밀리그램(판토프라졸나트륨세스키히드레이트)_(22.55mg/1정),1,False
